Date,S&P Composite 1500,S&P U.S. Aggregate Bond Index,60/40
2020-05,86.27450877166702,22.74368588316045,3.103518933450451
2020-06,88.48069982297157,23.44239428915953,1.6031979931823703
2020-07,93.84176558282317,24.920852642666926,3.8080227973139125
2020-08,100.3894382101623,24.07958376376268,3.5920960248417804
2020-09,96.64154046323627,24.117109674032214,-2.2337282840478068
2020-10,94.40736701600305,23.702364228429953,-1.506402246580831
2020-11,105.07452699706025,24.71740213257653,6.806311150292947
2020-12,109.01090093741189,24.874612201343542,2.4247083917177914
2021-01,108.33627170375289,24.265947927872748,-0.648243249583722
2021-02,111.3554304836889,22.890312507711954,1.261241099897299
2021-03,115.63059136815374,21.7174662190471,2.095958015212966
2021-04,120.6607660403561,22.460799364339337,3.3154380614383028
2021-05,121.29544274043361,22.685482619465738,0.47067932209707175
2021-06,123.27068544037976,23.48541846447725,1.5051199579722918
