Date,S&P Composite 1500,S&P GSCI Copper,S&P GSCI Crude Oil,S&P GSCI Gold,S&P GSCI,S&P U.S. Aggregate Bond Index,S&P U.S. TIPS Index (USD),S&P United States REIT (USD),VolWt
2015-05,42.29259743182365,-21.5320425537216,-25.71098341666924,-32.625289878671936,-34.08589647960622,4.433679719693885,-3.5507257454803773,23.34852368046703,-0.7585709285389043
2015-06,40.37331732240952,-25.643220161836247,-26.79487586035285,-34.09175164663112,-33.58445701998118,3.507255137948196,-4.405802849159402,18.243512787746887,-1.4107428893225995
2015-07,42.141046300421394,-35.07919248732542,-49.39408675309528,-40.78279447897928,-48.60182629669113,4.157722623391258,-3.9698140434646483,23.602038283402596,-3.678314811064401
2015-08,36.03936720610732,-36.323926712143724,-43.414920187611784,-37.348069069382184,-47.461134731404115,3.916636636613114,-4.838918768191425,17.16777457615526,0.0156829848224317
2015-09,33.46536633723893,-35.38609702546824,-51.073139013048916,-38.79102913832667,-53.007404110476394,4.548614011672525,-5.246056443213742,19.74709035732587,-0.7787641035844227
2015-10,41.25489474265913,-36.21858837725363,-47.12072147701731,-36.38116824562453,-51.681652758892476,4.606005265951008,-4.95793234809796,25.16782972968139,1.1464838717293693
2015-11,41.52621405803869,-46.92389763753176,-57.93044499652316,-43.213147470234325,-59.370455703695725,4.362467874411768,-5.081825844541643,24.4097109234368,-3.488354043452044
2015-12,39.59026455118316,-44.23250040287761,-68.91947400312324,-43.57663088820066,-66.70026753125927,4.052168254070909,-5.892517745973958,25.765691545156567,-1.1164083896294534
2016-01,34.51005335337654,-47.166425979931574,-77.1553840802612,-38.324619053191334,-69.92744622484823,5.27568088254281,-4.453419521536484,22.324876851695798,0.4677544952631527
2016-02,34.38956876056407,-44.11313431147111,-74.76478605146545,-28.00888127907878,-68.51778361254418,5.854798108962999,-3.44445192826367,21.903169834424798,2.7083980137843784
2016-03,41.00512319945899,-40.59237767909511,-61.071437753391265,-27.785385984794996,-61.98002885086798,6.723317039010389,-1.7498034418459096,31.398939369850602,2.7217598959687965
2016-04,41.406938112332,-36.422379545892625,-42.03471590083829,-23.33435411582849,-50.8551681284051,7.086144038098496,-1.5562433772947193,28.75762830549499,2.8967938123375756
2016-05,43.02371706032518,-44.1234929637315,-34.99868904685811,-29.073372706202612,-47.81399762394642,7.072662005857033,-2.185162526549611,30.803748956489944,-1.2456857214809633
2016-06,43.285870607932864,-40.3070456758954,-35.89814500988429,-20.770066369515025,-46.73574761362468,8.690872350686107,-0.0846820503896506,37.034938645957,3.2206714681129482
2016-07,46.90068504295789,-38.65711114129142,-50.244411487365205,-17.95260514000851,-56.24464781182097,9.302317090477619,0.6119796600507654,41.29487242378679,-0.0852034654538385
2016-08,46.86816529669816,-45.096717076105435,-42.392168094871764,-21.360908977741328,-53.49034766703936,9.207346605868105,0.27136447593035795,37.24841577726015,-1.0526748244645099
2016-09,46.80366705062892,-39.764693324559076,-33.9772345624916,-20.871844614049568,-48.69933959396746,9.152850771829435,0.8123716501694078,35.09355167850133,1.3108827015388829
2016-10,44.71855047376599,-39.90628816504134,-36.59063952693439,-24.192811393200394,-49.39408111297466,8.43529283833483,0.43514502066981375,29.050878531420317,-1.4187914147927405
2016-11,48.69939584498204,-21.283477306141265,-30.277178393164718,-32.1686641272855,-44.87220675857907,6.201103599167501,-1.3393329759480155,27.352679130947383,-0.03196452708387068
2016-12,50.59048637495144,-26.214566152233488,-21.68586915654727,-33.997880872199566,-39.37419361928271,6.3543666832753924,-1.3924573922922123,31.418917808569184,0.31304423332568787
2017-01,52.29574242005529,-17.980420812390307,-23.09815421771794,-28.88071444871105,-39.86879664936743,6.588220116708777,-0.5809174193414646,30.979732524877882,1.8732109024057377
2017-02,55.80009966800314,-18.052075949118684,-20.734930131449385,-25.401188382531156,-38.220676549738855,7.318109895303882,-0.12811904657058504,34.45781935688488,1.4387885219549412
2017-03,55.74791840770281,-20.240016666717942,-26.957386640950823,-25.56526604917184,-41.67391686050498,7.306551678542107,-0.18380780226324722,31.16026060041422,-0.9657608724243881
2017-04,56.660797926069485,-21.916646348113435,-29.332721497404982,-24.173642347122758,-43.031942482289345,8.015656755502166,0.36919658824657864,31.044100908147335,0.2263192313172908
2017-05,57.60335207083818,-22.759063770795297,-30.937168725885194,-23.558242742229638,-44.18881310562374,8.709249906632767,0.369720421077957,29.97161258870992,0.03599421674099092
2017-06,58.24836421690184,-18.227579393301042,-35.41599099357664,-26.142920699334766,-45.53893066236906,8.664588662473262,-0.5330257299687946,31.710245642189474,-0.37898849245489796
2017-07,60.06879806570599,-11.200367788589894,-26.487511763264617,-23.627543801804148,-41.314253682608786,9.088387696737112,-0.07992360430910672,32.73248816582871,2.1275344078638057
